time,xrayimage_id,xrayimage_name,trg,power,TED,TEP_low,TEP_high,TEP
0,0,050_AlSiMg_200W_500mms_M0_G13_Test_Stepover0001.tif,4.865,1.808,1.614,0.049,0.055,1962.998335
5.00E-06,0,050_AlSiMg_200W_500mms_M0_G13_Test_Stepover0001.tif,4.901,1.807,1.623,0.055,0.058,1934.019074
1.00E-05,0,050_AlSiMg_200W_500mms_M0_G13_Test_Stepover0001.tif,0.033,1.804,1.616,0.042,0.055,1898.519713
1.50E-05,0,050_AlSiMg_200W_500mms_M0_G13_Test_Stepover0001.tif,-0.001,1.793,1.637,0.045,0.055,1815.623386
2.00E-05,1,050_AlSiMg_200W_500mms_M0_G13_Test_Stepover0002.tif,0.001,1.784,1.623,0.044,0.058,1603.081882
2.50E-05,1,050_AlSiMg_200W_500mms_M0_G13_Test_Stepover0002.tif,-0.002,1.78,1.605,0.047,0.057,1658.977761
3.00E-05,1,050_AlSiMg_200W_500mms_M0_G13_Test_Stepover0002.tif,0,1.781,1.586,0.047,0.059,1605.704682
3.50E-05,1,050_AlSiMg_200W_500mms_M0_G13_Test_Stepover0002.tif,-0.001,1.779,1.686,0.047,0.057,1678.339627
4.00E-05,2,050_AlSiMg_200W_500mms_M0_G13_Test_Stepover0003.tif,0,1.781,1.737,0.044,0.058,1668.33261
4.50E-05,2,050_AlSiMg_200W_500mms_M0_G13_Test_Stepover0003.tif,0.001,1.793,1.815,0.046,0.055,1689.260393
5.00E-05,2,050_AlSiMg_200W_500mms_M0_G13_Test_Stepover0003.tif,0,1.802,1.851,0.044,0.054,1723.198513
5.50E-05,2,050_AlSiMg_200W_500mms_M0_G13_Test_Stepover0003.tif,0,1.808,1.761,0.045,0.055,1817.011641
6.00E-05,3,050_AlSiMg_200W_500mms_M0_G13_Test_Stepover0004.tif,-0.003,1.807,1.731,0.047,0.055,1786.560834
6.50E-05,3,050_AlSiMg_200W_500mms_M0_G13_Test_Stepover0004.tif,0.001,1.804,1.695,0.047,0.055,1818.945183
7.00E-05,3,050_AlSiMg_200W_500mms_M0_G13_Test_Stepover0004.tif,-0.002,1.801,1.668,0.046,0.057,1822.280132
7.50E-05,3,050_AlSiMg_200W_500mms_M0_G13_Test_Stepover0004.tif,0,1.8,1.677,0.049,0.058,1788.342011
8.00E-05,4,050_AlSiMg_200W_500mms_M0_G13_Test_Stepover0005.tif,0.001,1.79,1.684,0.046,0.056,1773.643486
8.50E-05,4,050_AlSiMg_200W_500mms_M0_G13_Test_Stepover0005.tif,-0.002,1.776,1.781,0.047,0.057,1807.368891
9.00E-05,4,050_AlSiMg_200W_500mms_M0_G13_Test_Stepover0005.tif,-0.001,1.773,1.798,0.048,0.057,1788.192648
9.50E-05,4,050_AlSiMg_200W_500mms_M0_G13_Test_Stepover0005.tif,0.001,1.773,1.752,0.047,0.056,1770.459458
0.0001,5,050_AlSiMg_200W_500mms_M0_G13_Test_Stepover0006.tif,-0.002,1.776,1.707,0.048,0.058,1827.665885
0.000105,5,050_AlSiMg_200W_500mms_M0_G13_Test_Stepover0006.tif,0,1.78,1.686,0.045,0.056,1842.36441
0.00011,5,050_AlSiMg_200W_500mms_M0_G13_Test_Stepover0006.tif,-0.001,1.784,1.703,0.048,0.055,1792.313465
0.000115,5,050_AlSiMg_200W_500mms_M0_G13_Test_Stepover0006.tif,0.001,1.804,1.681,0.047,0.055,1785.845396
0.00012,6,050_AlSiMg_200W_500mms_M0_G13_Test_Stepover0007.tif,0,1.809,1.649,0.045,0.057,1840.783685
0.000125,6,050_AlSiMg_200W_500mms_M0_G13_Test_Stepover0007.tif,-0.001,1.812,1.654,0.046,0.056,1820.704413
0.00013,6,050_AlSiMg_200W_500mms_M0_G13_Test_Stepover0007.tif,-0.001,1.811,1.653,0.047,0.055,1789.967383
0.000135,6,050_AlSiMg_200W_500mms_M0_G13_Test_Stepover0007.tif,0.001,1.809,1.671,0.048,0.056,1823.983794
0.00014,7,050_AlSiMg_200W_500mms_M0_G13_Test_Stepover0008.tif,-0.002,1.801,1.656,0.048,0.058,1861.188894
0.000145,7,050_AlSiMg_200W_500mms_M0_G13_Test_Stepover0008.tif,0,1.793,1.734,0.047,0.057,1784.639619
0.00015,7,050_AlSiMg_200W_500mms_M0_G13_Test_Stepover0008.tif,-0.001,1.783,1.692,0.047,0.055,1747.512463
0.000155,7,050_AlSiMg_200W_500mms_M0_G13_Test_Stepover0008.tif,0.001,1.775,1.689,0.046,0.059,1729.86558
0.00016,8,050_AlSiMg_200W_500mms_M0_G13_Test_Stepover0009.tif,-0.001,1.779,1.71,0.047,0.057,1787.072007
0.000165,8,050_AlSiMg_200W_500mms_M0_G13_Test_Stepover0009.tif,0.001,1.781,1.64,0.047,0.058,1787.072007
0.00017,8,050_AlSiMg_200W_500mms_M0_G13_Test_Stepover0009.tif,-0.002,1.786,1.665,0.048,0.055,1829.683162
0.000175,8,050_AlSiMg_200W_500mms_M0_G13_Test_Stepover0009.tif,0,1.787,1.637,0.047,0.055,1912.579489
0.00018,9,050_AlSiMg_200W_500mms_M0_G13_Test_Stepover0010.tif,-0.002,1.798,1.668,0.047,0.057,1939.785219
0.000185,9,050_AlSiMg_200W_500mms_M0_G13_Test_Stepover0010.tif,-0.001,1.807,1.663,0.049,0.055,1868.132999
