time,xrayimage_id,xrayimage_name,trg,power,TED,TEP_low,TEP_high,TEP
0.0,0,074_AlSiMg_200W_500mms_M0_G13_Test_Crossflow_StepoverAlt0001.tif,4.652,1.798,1.622,0.047,0.062,1905.701483257434
5e-06,0,074_AlSiMg_200W_500mms_M0_G13_Test_Crossflow_StepoverAlt0001.tif,4.89,1.783,1.608,0.046,0.055,1922.3342463661215
1e-05,0,074_AlSiMg_200W_500mms_M0_G13_Test_Crossflow_StepoverAlt0001.tif,0.235,1.777,1.586,0.046,0.051,1885.207091148958
1.5e-05,0,074_AlSiMg_200W_500mms_M0_G13_Test_Crossflow_StepoverAlt0001.tif,-0.002,1.77,1.572,0.048,0.054,2002.7247438540785
2e-05,1,074_AlSiMg_200W_500mms_M0_G13_Test_Crossflow_StepoverAlt0002.tif,0.0,1.773,1.576,0.047,0.057,1972.2739363676174
2.5e-05,1,074_AlSiMg_200W_500mms_M0_G13_Test_Crossflow_StepoverAlt0002.tif,-0.002,1.775,1.608,0.048,0.055,1932.6881169727185
3e-05,1,074_AlSiMg_200W_500mms_M0_G13_Test_Crossflow_StepoverAlt0002.tif,-0.001,1.777,1.632,0.046,0.057,1868.8122069130259
3.5e-05,1,074_AlSiMg_200W_500mms_M0_G13_Test_Crossflow_StepoverAlt0002.tif,0.0,1.788,1.635,0.049,0.056,1891.189539755985
4e-05,2,074_AlSiMg_200W_500mms_M0_G13_Test_Crossflow_StepoverAlt0003.tif,-0.001,1.801,1.618,0.047,0.056,1894.2608214720196
4.5e-05,2,074_AlSiMg_200W_500mms_M0_G13_Test_Crossflow_StepoverAlt0003.tif,0.0,1.807,1.607,0.049,0.058,1900.6886316490077
5e-05,2,074_AlSiMg_200W_500mms_M0_G13_Test_Crossflow_StepoverAlt0003.tif,-0.001,1.805,1.621,0.049,0.056,1883.7063238841906
5.5e-05,2,074_AlSiMg_200W_500mms_M0_G13_Test_Crossflow_StepoverAlt0003.tif,-0.001,1.807,1.672,0.048,0.059,1893.121649491469
6e-05,3,074_AlSiMg_200W_500mms_M0_G13_Test_Crossflow_StepoverAlt0004.tif,-0.002,1.805,1.651,0.05,0.058,1868.6730826716644
6.5e-05,3,074_AlSiMg_200W_500mms_M0_G13_Test_Crossflow_StepoverAlt0004.tif,-0.001,1.801,1.685,0.05,0.059,1817.8088718908955
7e-05,3,074_AlSiMg_200W_500mms_M0_G13_Test_Crossflow_StepoverAlt0004.tif,0.0,1.791,1.639,0.051,0.062,1832.2730220124517
7.5e-05,3,074_AlSiMg_200W_500mms_M0_G13_Test_Crossflow_StepoverAlt0004.tif,-0.001,1.781,1.688,0.05,0.06,1838.1765911640846
8e-05,4,074_AlSiMg_200W_500mms_M0_G13_Test_Crossflow_StepoverAlt0005.tif,0.0,1.773,1.742,0.048,0.058,1838.1765911640846
