time,xrayimage_id,xrayimage_name,trg,power,TED,TEP_low,TEP_high,TEP
0.0,0,077_AlSiMg_200W_500mms_M0_G13_Test_StepoverAlt0001.tif,4.889,1.783,1.563,0.043,0.052,1764.4768536208212
5e-06,0,077_AlSiMg_200W_500mms_M0_G13_Test_StepoverAlt0001.tif,4.894,1.77,1.562,0.042,0.05,1703.2855093848834
1e-05,0,077_AlSiMg_200W_500mms_M0_G13_Test_StepoverAlt0001.tif,0.006,1.77,1.552,0.041,0.051,1717.5821144286188
1.5e-05,0,077_AlSiMg_200W_500mms_M0_G13_Test_StepoverAlt0001.tif,0.001,1.775,1.558,0.042,0.052,1683.7534036484399
2e-05,1,077_AlSiMg_200W_500mms_M0_G13_Test_StepoverAlt0002.tif,-0.001,1.779,1.551,0.042,0.052,1662.1705126622699
2.5e-05,1,077_AlSiMg_200W_500mms_M0_G13_Test_StepoverAlt0002.tif,0.001,1.779,1.56,0.042,0.053,1703.260828034745
3e-05,1,077_AlSiMg_200W_500mms_M0_G13_Test_StepoverAlt0002.tif,-0.002,1.787,1.558,0.041,0.05,1681.7161241087008
3.5e-05,1,077_AlSiMg_200W_500mms_M0_G13_Test_StepoverAlt0002.tif,-0.001,1.801,1.555,0.043,0.051,1667.4195190649655
4e-05,2,077_AlSiMg_200W_500mms_M0_G13_Test_StepoverAlt0003.tif,-0.002,1.811,1.608,0.04,0.051,1681.7161241087008
4.5e-05,2,077_AlSiMg_200W_500mms_M0_G13_Test_StepoverAlt0003.tif,0.0,1.809,1.588,0.042,0.053,1730.6113507556802
5e-05,2,077_AlSiMg_200W_500mms_M0_G13_Test_StepoverAlt0003.tif,-0.001,1.805,1.594,0.042,0.052,1750.8726361953238
5.5e-05,2,077_AlSiMg_200W_500mms_M0_G13_Test_StepoverAlt0003.tif,-0.002,1.807,1.632,0.044,0.051,1788.372547211114
6e-05,3,077_AlSiMg_200W_500mms_M0_G13_Test_StepoverAlt0004.tif,0.0,1.804,1.615,0.043,0.05,1818.6243593445947
6.5e-05,3,077_AlSiMg_200W_500mms_M0_G13_Test_StepoverAlt0004.tif,0.001,1.795,1.602,0.042,0.051,2005.898191710527
7e-05,3,077_AlSiMg_200W_500mms_M0_G13_Test_StepoverAlt0004.tif,0.001,1.783,1.602,0.042,0.051,1960.662054564335
7.5e-05,3,077_AlSiMg_200W_500mms_M0_G13_Test_StepoverAlt0004.tif,0.001,1.78,1.59,0.048,0.051,1936.8189779888594
8e-05,4,077_AlSiMg_200W_500mms_M0_G13_Test_StepoverAlt0005.tif,0.0,1.779,1.598,0.042,0.051,1920.8637708991132
8.5e-05,4,077_AlSiMg_200W_500mms_M0_G13_Test_StepoverAlt0005.tif,-0.001,1.779,1.583,0.042,0.05,1904.908563809368
9e-05,4,077_AlSiMg_200W_500mms_M0_G13_Test_StepoverAlt0005.tif,0.001,1.781,1.586,0.042,0.052,1733.5899385331818
9.5e-05,4,077_AlSiMg_200W_500mms_M0_G13_Test_StepoverAlt0005.tif,0.001,1.784,1.588,0.042,0.052,1733.5899385331813
0.0001,5,077_AlSiMg_200W_500mms_M0_G13_Test_StepoverAlt0006.tif,-0.002,1.794,1.632,0.042,0.051,1712.0070475470118
0.000105,5,077_AlSiMg_200W_500mms_M0_G13_Test_StepoverAlt0006.tif,0.001,1.802,1.609,0.042,0.051,1727.9622546367577
0.00011,5,077_AlSiMg_200W_500mms_M0_G13_Test_StepoverAlt0006.tif,-0.001,1.805,1.611,0.041,0.05,1743.9174617265035
0.000115,5,077_AlSiMg_200W_500mms_M0_G13_Test_StepoverAlt0006.tif,-0.001,1.8,1.605,0.042,0.051,1743.9174617265035
0.00012,6,077_AlSiMg_200W_500mms_M0_G13_Test_StepoverAlt0007.tif,0.001,1.797,1.625,0.042,0.051,1689.9623277207097
0.000125,6,077_AlSiMg_200W_500mms_M0_G13_Test_StepoverAlt0007.tif,0.0,1.793,1.636,0.042,0.051,1711.5452187068793
0.00013,6,077_AlSiMg_200W_500mms_M0_G13_Test_StepoverAlt0007.tif,-0.001,1.79,1.628,0.039,0.051,1674.0453076910894
0.000135,6,077_AlSiMg_200W_500mms_M0_G13_Test_StepoverAlt0007.tif,-0.002,1.775,1.604,0.042,0.05,1654.4605849398285
0.00014,7,077_AlSiMg_200W_500mms_M0_G13_Test_StepoverAlt0008.tif,-0.002,1.77,1.581,0.04,0.051,1654.460584939828
0.000145,7,077_AlSiMg_200W_500mms_M0_G13_Test_StepoverAlt0008.tif,-0.001,1.77,1.58,0.041,0.051,1708.4157189456218
0.00015,7,077_AlSiMg_200W_500mms_M0_G13_Test_StepoverAlt0008.tif,-0.001,1.768,1.602,0.042,0.051,1953.6124290964049
0.000155,7,077_AlSiMg_200W_500mms_M0_G13_Test_StepoverAlt0008.tif,-0.001,1.777,1.619,0.042,0.051,1994.6892387588935
0.00016,8,077_AlSiMg_200W_500mms_M0_G13_Test_StepoverAlt0009.tif,0.001,1.786,1.629,0.05,0.051,2014.273961510154
0.000165,8,077_AlSiMg_200W_500mms_M0_G13_Test_StepoverAlt0009.tif,0.001,1.798,1.632,0.043,0.052,1984.0221493766735
0.00017,8,077_AlSiMg_200W_500mms_M0_G13_Test_StepoverAlt0009.tif,-0.002,1.808,1.653,0.042,0.051,1984.0221493766735
0.000175,8,077_AlSiMg_200W_500mms_M0_G13_Test_StepoverAlt0009.tif,-0.002,1.809,1.654,0.042,0.053,1720.9016377405073
0.00018,9,077_AlSiMg_200W_500mms_M0_G13_Test_StepoverAlt0010.tif,0.001,1.809,1.674,0.042,0.051,1762.5608762400013
0.000185,9,077_AlSiMg_200W_500mms_M0_G13_Test_StepoverAlt0010.tif,0.001,1.808,1.633,0.042,0.051,1758.9017867392147
0.00019,9,077_AlSiMg_200W_500mms_M0_G13_Test_StepoverAlt0010.tif,0.0,1.802,1.685,0.044,0.051,1773.1983917829498
0.000195,9,077_AlSiMg_200W_500mms_M0_G13_Test_StepoverAlt0010.tif,-0.002,1.797,1.693,0.041,0.05,1726.5257543234052
0.0002,10,077_AlSiMg_200W_500mms_M0_G13_Test_StepoverAlt0011.tif,0.0,1.784,1.628,0.042,0.052,1726.5257543234052
0.000205,10,077_AlSiMg_200W_500mms_M0_G13_Test_StepoverAlt0011.tif,0.001,1.773,1.607,0.041,0.053,1651.037805043732
0.00021,10,077_AlSiMg_200W_500mms_M0_G13_Test_StepoverAlt0011.tif,-0.002,1.77,1.63,0.042,0.051,1635.1121717932579
0.000215,10,077_AlSiMg_200W_500mms_M0_G13_Test_StepoverAlt0011.tif,-0.002,1.77,1.667,0.042,0.053,1635.112171793258
0.00022,11,077_AlSiMg_200W_500mms_M0_G13_Test_StepoverAlt0012.tif,-0.001,1.773,1.626,0.041,0.051,1681.7848092528027
0.000225,11,077_AlSiMg_200W_500mms_M0_G13_Test_StepoverAlt0012.tif,-0.002,1.775,1.615,0.042,0.052,1688.8591834782333
0.00023,11,077_AlSiMg_200W_500mms_M0_G13_Test_StepoverAlt0012.tif,-0.002,1.788,1.636,0.042,0.051,1737.0347970970965
0.000235,11,077_AlSiMg_200W_500mms_M0_G13_Test_StepoverAlt0012.tif,0.0,1.795,1.642,0.044,0.053,1756.6195198483576
0.00024,12,077_AlSiMg_200W_500mms_M0_G13_Test_StepoverAlt0013.tif,0.0,1.805,1.625,0.042,0.05,1779.649101163534
0.000245,12,077_AlSiMg_200W_500mms_M0_G13_Test_StepoverAlt0013.tif,0.0,1.811,1.637,0.042,0.051,1749.3972890300527
0.00025,12,077_AlSiMg_200W_500mms_M0_G13_Test_StepoverAlt0013.tif,-0.001,1.805,1.607,0.044,0.053,1695.6502773450775
0.000255,12,077_AlSiMg_200W_500mms_M0_G13_Test_StepoverAlt0013.tif,-0.001,1.805,1.58,0.042,0.053,1677.7264758596953
0.00026,13,077_AlSiMg_200W_500mms_M0_G13_Test_StepoverAlt0014.tif,-0.001,1.8,1.605,0.041,0.053,1661.771268769949
0.000265,13,077_AlSiMg_200W_500mms_M0_G13_Test_StepoverAlt0014.tif,-0.001,1.791,1.6,0.042,0.051,1604.4192330252208
0.00027,13,077_AlSiMg_200W_500mms_M0_G13_Test_StepoverAlt0014.tif,0.001,1.777,1.569,0.042,0.052,1618.7158380689561
0.000275,13,077_AlSiMg_200W_500mms_M0_G13_Test_StepoverAlt0014.tif,-0.002,1.775,1.614,0.04,0.052,1672.4628497539313
0.00028,14,077_AlSiMg_200W_500mms_M0_G13_Test_StepoverAlt0015.tif,-0.002,1.768,1.602,0.042,0.052,1656.5076426641851
0.000285,14,077_AlSiMg_200W_500mms_M0_G13_Test_StepoverAlt0015.tif,-0.002,1.772,1.593,0.044,0.053,1642.2110376204503
0.00029,14,077_AlSiMg_200W_500mms_M0_G13_Test_StepoverAlt0015.tif,-0.001,1.773,1.605,0.042,0.052,1737.7248362859405
0.000295,14,077_AlSiMg_200W_500mms_M0_G13_Test_StepoverAlt0015.tif,0.0,1.781,1.612,0.042,0.053,1723.4282312422051
0.0003,15,077_AlSiMg_200W_500mms_M0_G13_Test_StepoverAlt0016.tif,-0.002,1.793,1.635,0.044,0.051,1700.398649927029
0.000305,15,077_AlSiMg_200W_500mms_M0_G13_Test_StepoverAlt0016.tif,-0.002,1.8,1.577,0.042,0.053,1768.2748995398845
0.00031,15,077_AlSiMg_200W_500mms_M0_G13_Test_StepoverAlt0016.tif,0.0,1.801,1.595,0.042,0.052,1782.5715045836198
0.000315,15,077_AlSiMg_200W_500mms_M0_G13_Test_StepoverAlt0016.tif,0.0,1.802,1.566,0.046,0.053,1717.7506446861667
0.00032,16,077_AlSiMg_200W_500mms_M0_G13_Test_StepoverAlt0017.tif,-0.002,1.8,1.56,0.042,0.052,1769.5080494408617
0.000325,16,077_AlSiMg_200W_500mms_M0_G13_Test_StepoverAlt0017.tif,-0.001,1.795,1.559,0.041,0.051,1738.790619071063
0.00033,16,077_AlSiMg_200W_500mms_M0_G13_Test_StepoverAlt0017.tif,-0.002,1.794,1.667,0.043,0.051,1708.3751691691673
0.000335,16,077_AlSiMg_200W_500mms_M0_G13_Test_StepoverAlt0017.tif,-0.002,1.784,1.758,0.041,0.053,1727.907274905611
0.00034,17,077_AlSiMg_200W_500mms_M0_G13_Test_StepoverAlt0018.tif,0.0,1.775,1.756,0.043,0.051,1738.566552377721
0.000345,17,077_AlSiMg_200W_500mms_M0_G13_Test_StepoverAlt0018.tif,0.0,1.772,1.726,0.043,0.052,1704.6580202336004
0.00035,17,077_AlSiMg_200W_500mms_M0_G13_Test_StepoverAlt0018.tif,-0.003,1.776,1.707,0.044,0.054,1717.4922382730042
0.000355,17,077_AlSiMg_200W_500mms_M0_G13_Test_StepoverAlt0018.tif,-0.001,1.78,1.654,0.043,0.053,1699.563544298488
0.00036,18,077_AlSiMg_200W_500mms_M0_G13_Test_StepoverAlt0019.tif,-0.002,1.783,1.632,0.041,0.052,1680.031438562044
0.000365,18,077_AlSiMg_200W_500mms_M0_G13_Test_StepoverAlt0019.tif,0.001,1.795,1.607,0.043,0.052,1673.0016767514494
0.00037,18,077_AlSiMg_200W_500mms_M0_G13_Test_StepoverAlt0019.tif,0.0,1.805,1.586,0.042,0.052,1688.981514921054
0.000375,18,077_AlSiMg_200W_500mms_M0_G13_Test_StepoverAlt0019.tif,0.0,1.811,1.586,0.042,0.052,1699.5258592655969
0.00038,19,077_AlSiMg_200W_500mms_M0_G13_Test_StepoverAlt0020.tif,0.001,1.808,1.618,0.043,0.052,1703.0233348443296
0.000385,19,077_AlSiMg_200W_500mms_M0_G13_Test_StepoverAlt0020.tif,-0.001,1.805,1.748,0.044,0.055,1726.0529161595055
0.00039,19,077_AlSiMg_200W_500mms_M0_G13_Test_StepoverAlt0020.tif,0.0,1.804,1.686,0.044,0.053,1726.0529161595055
0.000395,19,077_AlSiMg_200W_500mms_M0_G13_Test_StepoverAlt0020.tif,0.001,1.801,1.658,0.044,0.053,1679.3381315316572
0.0004,20,077_AlSiMg_200W_500mms_M0_G13_Test_StepoverAlt0021.tif,0.0,1.79,1.639,0.042,0.052,1720.5560080926375
0.000405,20,077_AlSiMg_200W_500mms_M0_G13_Test_StepoverAlt0021.tif,-0.002,1.777,1.608,0.042,0.054,1683.229821733726
0.00041,20,077_AlSiMg_200W_500mms_M0_G13_Test_StepoverAlt0021.tif,0.0,1.776,1.625,0.042,0.05,1683.2298217337259
0.000415,20,077_AlSiMg_200W_500mms_M0_G13_Test_StepoverAlt0021.tif,-0.002,1.776,1.591,0.042,0.053,1668.9332166899908
0.00042,21,077_AlSiMg_200W_500mms_M0_G13_Test_StepoverAlt0022.tif,0.001,1.773,1.584,0.044,0.053,1699.6681631482347
0.000425,21,077_AlSiMg_200W_500mms_M0_G13_Test_StepoverAlt0022.tif,0.001,1.777,1.602,0.042,0.053,1665.7891545731065
0.00043,21,077_AlSiMg_200W_500mms_M0_G13_Test_StepoverAlt0022.tif,0.0,1.788,1.628,0.043,0.053,1721.0441566543864
0.000435,21,077_AlSiMg_200W_500mms_M0_G13_Test_StepoverAlt0022.tif,0.0,1.801,1.632,0.042,0.052,1738.9729723767553
0.00044,22,077_AlSiMg_200W_500mms_M0_G13_Test_StepoverAlt0023.tif,-0.001,1.804,1.623,0.044,0.052,1729.5534625248251
0.000445,22,077_AlSiMg_200W_500mms_M0_G13_Test_StepoverAlt0023.tif,-0.001,1.804,1.632,0.044,0.052,1711.7045899142508
0.00045,22,077_AlSiMg_200W_500mms_M0_G13_Test_StepoverAlt0023.tif,0.0,1.807,1.623,0.043,0.055,1772.8959341501882
0.000455,22,077_AlSiMg_200W_500mms_M0_G13_Test_StepoverAlt0023.tif,0.001,1.805,1.612,0.042,0.053,1793.1288813485814
0.00046,23,077_AlSiMg_200W_500mms_M0_G13_Test_StepoverAlt0024.tif,0.0,1.804,1.621,0.044,0.051,1755.7227518778764
0.000465,23,077_AlSiMg_200W_500mms_M0_G13_Test_StepoverAlt0024.tif,-0.001,1.794,1.681,0.044,0.051,1765.1422617298063
0.00047,23,077_AlSiMg_200W_500mms_M0_G13_Test_StepoverAlt0024.tif,0.0,1.777,1.689,0.043,0.053,1798.9709725099856
0.000475,23,077_AlSiMg_200W_500mms_M0_G13_Test_StepoverAlt0024.tif,-0.002,1.772,1.703,0.042,0.053,1775.2404279850075
0.00048,24,077_AlSiMg_200W_500mms_M0_G13_Test_StepoverAlt0025.tif,-0.002,1.775,1.681,0.043,0.052,1717.6013513159087
0.000485,24,077_AlSiMg_200W_500mms_M0_G13_Test_StepoverAlt0025.tif,-0.002,1.775,1.65,0.043,0.051,1710.4195680875541
0.00049,24,077_AlSiMg_200W_500mms_M0_G13_Test_StepoverAlt0025.tif,-0.002,1.776,1.611,0.043,0.053,1724.7161731312895
0.000495,24,077_AlSiMg_200W_500mms_M0_G13_Test_StepoverAlt0025.tif,-0.002,1.784,1.695,0.041,0.051,1690.8874623511106
0.0005,25,077_AlSiMg_200W_500mms_M0_G13_Test_StepoverAlt0026.tif,-0.002,1.795,1.632,0.042,0.052,1669.3818697298964
0.000505,25,077_AlSiMg_200W_500mms_M0_G13_Test_StepoverAlt0026.tif,-0.002,1.802,1.63,0.042,0.053,1681.7848092528027
0.00051,25,077_AlSiMg_200W_500mms_M0_G13_Test_StepoverAlt0026.tif,-0.002,1.802,1.636,0.042,0.051,1681.7848092528027
0.000515,25,077_AlSiMg_200W_500mms_M0_G13_Test_StepoverAlt0026.tif,-0.002,1.804,1.63,0.042,0.051,1685.3370768196419
0.00052,26,077_AlSiMg_200W_500mms_M0_G13_Test_StepoverAlt0027.tif,-0.002,1.8,1.628,0.041,0.051,1740.5920789009222
0.000525,26,077_AlSiMg_200W_500mms_M0_G13_Test_StepoverAlt0027.tif,0.001,1.798,1.626,0.043,0.053,1693.9194414413773
0.00053,26,077_AlSiMg_200W_500mms_M0_G13_Test_StepoverAlt0027.tif,-0.002,1.791,1.681,0.044,0.052,1677.9642343516316
0.000535,26,077_AlSiMg_200W_500mms_M0_G13_Test_StepoverAlt0027.tif,-0.001,1.779,1.656,0.041,0.053,1701.1258557495908
